"component__cGrey","component__rubyTag","component__icon href","component__blueLink","component__toolTip href","component__main_text","component__light_text 2","component__main_text 2","component__sub_wrap","component__main_text 3","component__main_text 4","labels_semiBold","CompletionChart__percentage","hyperlinks_small","component__light_text 6","component__light_text 8","component__light_text 10","component__leadInfo href","component__percentile","component__toolTipText 5","videoStatus__wrapper src","videoStatus__heading","videoStatus__subHeading","videoStatus__ctaStyleActive","component__selfVerifier","component__extra_link 3","component__extra_link href","videoStatus__ctaStyleActive 2","hyperlinks_small 2"
"2 BHK Flat/Apartment for Sale in Emaar Digihomes, Sector 62 Gurgaon,Gurgaon","","https://www.99acres.com/Y73419661","Assigned to: Ghanshyam kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=Y73419661","Rs2.9 Crore","| Super built-up  Area:","1508.26 sq.ft.","Y73419661:","29 Jan 2024","29 Mar 2024","Property score is medium","85%","Add photos","0","9","193 Credits","https://www.99acres.com/lmsSearch?propId=Y73419661","44.51 %","On 13-03-2024, this listing performed better than 44.51 % of the listings in its locality.","","","","","Assign & share for SV","","","",""
"2 BHK Flat/Apartment for Sale in Emaar Digihomes, Sector 62 Gurgaon,Gurgaon","","https://www.99acres.com/E73418361","Assigned to: Ghanshyam kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=E73418361","Rs3 Crore","| Super built-up  Area:","1508.26 sq.ft.","E73418361:","29 Jan 2024","29 Mar 2024","Property score is medium","90%","Add photos","0","8","193 Credits","https://www.99acres.com/lmsSearch?propId=E73418361","44.51 %","On 13-03-2024, this listing performed better than 44.51 % of the listings in its locality.","","","","","Assign & share for SV","","","",""
"3 BHK Flat/Apartment for Sale in Emaar Digihomes, Sector 62 Gurgaon,Gurgaon","","https://www.99acres.com/H73417909","Assigned to: Ghanshyam kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=H73417909","Rs4.7 Crore","| Super built-up  Area:","2588.79 sq.ft.","H73417909:","29 Jan 2024","29 Mar 2024","Property score is medium","90%","Add photos","0","9","193 Credits","https://www.99acres.com/lmsSearch?propId=H73417909","44.51 %","On 13-03-2024, this listing performed better than 44.51 % of the listings in its locality.","","","","","Assign & share for SV","","","",""
"3 BHK Independent/Builder Floor for Rent in DLF City Phase 1, Sector 26 Gurgaon,Gurgaon","","https://www.99acres.com/A73392409","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=A73392409","Rs85,000","| Super built-up  Area:","1850 sq.ft.","A73392409:","27 Jan 2024","27 Mar 2024","Property score is good","95%","Add photos","0","3","386 Credits","https://www.99acres.com/lmsSearch?propId=A73392409","34.65 %","On 13-03-2024, this listing performed better than 34.65 % of the listings in its locality.","","","","","Assign & share for SV","","","",""
"Shops for Sale in AIPL Joy Street, Sector 66 Gurgaon,Gurgaon","","https://www.99acres.com/U73284517","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=U73284517","Rs5.2 Crore","| Built-up  Area:","1300 sq.ft.","U73284517:","25 Jan 2024","20 Mar 2024","Property score is good","94%","Add photos","10","17","772 Credits","https://www.99acres.com/lmsSearch?propId=U73284517","82.09 %","On 13-03-2024, this listing performed better than 82.09 % of the listings in its locality.","","","","","","View 2 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Shops for Sale in Paras Trinity, Sector 63 Gurgaon,Gurgaon","","https://www.99acres.com/B73284217","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=B73284217","Rs3.22 Crore","| Built-up  Area:","586 sq.ft.","B73284217:","25 Jan 2024","20 Mar 2024","Property score is good","94%","Add photos","1","11","193 Credits","https://www.99acres.com/lmsSearch?propId=B73284217","69.57 %","On 13-03-2024, this listing performed better than 69.57 % of the listings in its locality.","","","","","","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"Bare Shell Office Space for Lease in Spaze Buziness Park, Sector 66 Gurgaon,Gurgaon","","https://www.99acres.com/F73361763","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=F73361763","Rs73,000","| Super built-up  Area:","913 sq.ft.","F73361763:","25 Jan 2024","25 Mar 2024","Property score is good","100%","Add photos","6","10","193 Credits","https://www.99acres.com/lmsSearch?propId=F73361763","65.12 %","On 13-03-2024, this listing performed better than 65.12 % of the listings in its locality.","","","","","","","","",""
"3 BHK Independent/Builder Floor for Sale in Sector 50 Gurgaon,Gurgaon","","https://www.99acres.com/L73323167","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=L73323167","Rs1.65 Crore","| Built-up  Area:","2400 sq.ft.","L73323167:","23 Jan 2024","23 Mar 2024","Property score is good","95%","Add photos","0","19","386 Credits","https://www.99acres.com/lmsSearch?propId=L73323167","60.77 %","On 13-03-2024, this listing performed better than 60.77 % of the listings in its locality.","","","","","Assign & share for SV","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"3 BHK Independent House/Villa for Sale in E Block, DLF Phase 1,Gurgaon","","https://www.99acres.com/B73320673","Assigned to: Deepak Bhadoria","https://www.99acres.com/editproperty/?action=edit&prop_id=B73320673","Rs3.35 Crore","| Plot  Area:","109 sq.yards","B73320673:","23 Jan 2024","23 Mar 2024","Property score is good","95%","Add photos","9","86","386 Credits","https://www.99acres.com/lmsSearch?propId=B73320673","90.18 %","On 13-03-2024, this listing performed better than 90.18 % of the listings in its locality.","","","","","Assign & share for SV","View 11 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"4 BHK Flat/Apartment for Sale in Ashiana Mulberry, Sohna,Gurgaon","","https://www.99acres.com/C73286233","Assigned to: Rajesh Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=C73286233","Rs95 Lac","| Super built-up  Area:","1210 sq.ft.","C73286233:","20 Jan 2024","20 Mar 2024","Property score is good","95%","Add photos","16","43","386 Credits","https://www.99acres.com/lmsSearch?propId=C73286233","91.7 %","On 13-03-2024, this listing performed better than 91.7 % of the listings in its locality.","","","","","Assign & share for SV","View 1 Responses","https://www.99acres.com/my99acres/all_responses/","",""
"4 BHK Independent/Builder Floor for Sale in Ultra luxury builder floor , DLF Phase 1,Gurgaon","INFINITY","https://www.99acres.com/H73266111","Assigned to: Ghanshyam kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=H73266111","Rs5.15 Crore","| Super built-up  Area:","4500 sq.ft.","H73266111:","19 Jan 2024","19 Mar 2024","Property score is good","100%","Add USPs","0","17","731 Credits","https://www.99acres.com/lmsSearch?propId=H73266111","69.57 %","On 13-03-2024, this listing performed better than 69.57 % of the listings in its locality.","https://static.99acres.com/universalmy99/img/RubyActive_2x.png","Video updated on listing","Auto generated video is now playing","View Video","","","","",""
"Ready to move Office Space for Sale in Unitech Global Business Park, Sikandarpur,Gurgaon","","https://www.99acres.com/N73253373","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=N73253373","Rs3.08 Crore","| Super built-up  Area:","1400 sq.ft.","N73253373:","18 Jan 2024","18 Mar 2024","Property score is good","100%","Add photos","1","11","386 Credits","https://www.99acres.com/lmsSearch?propId=N73253373","55.56 %","On 13-03-2024, this listing performed better than 55.56 % of the listings in its locality.","","","","","Assign & share for SV","","","",""
"Ready to move Office Space for Lease in Splendor Spectrum One, sector 58 Gurgaon,Gurgaon","","https://www.99acres.com/Q73251281","Assigned to: Vaibhav Kumar","https://www.99acres.com/editproperty/?action=edit&prop_id=Q73251281","Rs8 Lac","| Super built-up  Area:","10600 sq.ft.","Q73251281:","18 Jan 2024","18 Mar 2024","Property score is good","96%","Add photos","2","4","386 Credits","https://www.99acres.com/lmsSearch?propId=Q73251281","30.53 %","On 13-03-2024, this listing performed better than 30.53 % of the listings in its locality.","","","","","Assign & share for SV","","","",""
